ds,unix,symbol,open,high,low,y,Volume BTC,Volume USD,is_outlier,SMA_20,EMA_20,BB_upper,BB_lower,BB_mid,RSI,daily_return,log_return,volatility_21d
2015-03-12,1426118400,BTC/USD,295.11,297.95,289.0,295.56,2399612.33,8145.87,0,264.2995,269.4167807609365,305.333139332163,223.26586066783702,264.2995,86.86122244488975,0.15248551387618825,0.0015236937276706531,40.920662891384474
2015-03-13,1426204800,BTC/USD,295.56,295.84,282.99,284.4,2654225.31,9178.74,0,266.226,270.84375402179967,307.2343777833381,225.21762221666188,266.226,70.99410503751335,-3.7758830694275325,-0.0384901639913611,44.09162223359632
2015-03-14,1426291200,BTC/USD,284.4,287.69,280.46,282.7,1595106.71,5616.62,0,268.527,271.9729203054378,307.6773122794553,229.37668772054468,268.527,69.4859690532389,-0.5977496483825506,-0.005995433229541061,44.23934828976735
2015-03-15,1426377600,BTC/USD,282.7,287.75,281.42,286.4,691987.13,2426.65,0,270.901,273.3469278953961,308.20684878653924,233.5951512134608,270.901,69.83015687799815,1.3088079235939132,0.013003170386945866,41.16219990805461
2015-03-16,1426464000,BTC/USD,286.4,294.26,285.78,289.7,1882414.82,6473.86,0,273.4015,274.90436333392984,308.5401009217322,238.26289907826782,273.4015,62.61246786632389,1.1522346368715075,0.011456469688814157,41.17036380880309
2015-03-17,1426550400,BTC/USD,289.7,292.99,281.9,284.46,1864637.8,6470.43,0,275.7245,275.8144239687937,306.9318665223945,244.51713347760548,275.7245,54.36939820742635,-1.80876769071453,-0.01825325863322273,42.220409241609424
2015-03-18,1426636800,BTC/USD,284.46,284.48,249.02,257.29,5650707.75,21120.78,0,276.754,274.05019311462286,303.59366224589263,249.9143377541074,276.754,42.209244532803204,-9.551430781129145,-0.10038879274762362,56.44095472718639
2015-03-19,1426723200,BTC/USD,257.29,265.95,249.0,262.01,3808281.05,14750.19,0,277.2015,272.90350805608733,302.6396406760113,251.7633593239887,277.2015,42.742829004062514,1.8345058105639467,0.01817881757719262,56.550508005028114
2015-03-20,1426809600,BTC/USD,262.01,265.27,257.0,262.09,1482272.82,5683.15,0,277.657,271.8736501459838,301.5481876288245,253.76581237117546,277.657,43.08530394948618,0.030533185756254078,0.00030528525327719346,51.86249617930563
2015-03-21,1426896000,BTC/USD,262.09,262.62,256.25,259.8,1199360.1,4622.93,0,277.8565,270.72377870350914,301.03558337954064,254.67741662045935,277.8565,40.220488046575014,-0.8737456598878146,-0.008775851988428979,51.98595742563772
2015-03-22,1426982400,BTC/USD,259.8,272.0,259.24,269.39,1512162.68,5709.7,0,277.62600000000003,270.5967521603178,301.05687697439816,254.19512302560187,277.62600000000003,46.931488507029684,3.69130100076982,0.036248039525947726,53.298156396134964
